70,'25-10-2021 12:58:43',5,'de','367113833','25-10-2021 12:54:50','25-10-2021 12:58:43','A3','A3','A4','A4','A4','A4','A5','A3','A3','A3','A2','A2','A4','A3','A3','A4','A2','A2','A3','A4','A3','A3','A3','A4','A4','A3','A4','A4','A4','A4','A3','A3','A3','A3','A3','A3','A3','A3','A3','A3','A3','A3',0,1,1,0,0,0,0,1,'Zeichner Ingenieurbau','A3',,'A2',,'A5','A29',2,
71,,2,'de','837941478','25-10-2021 12:55:09','25-10-2021 12:59:56','A4','A2','A3','A5','A4','A4','A5','A4','A4','A3','A3','A3','A3','A4','A3','A4','A3','A3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,'25-10-2021 13:01:24',5,'de','757378167','25-10-2021 12:55:19','25-10-2021 13:01:24','A4','A5','A4','A4','A3','A3','A5','A3','A3','A2','A2','A2','A3','A3','A2','A4','A2','A2','A3','A5','A5','A2','A3','A4','A5','A2','A2','A5','A5','A3','A4','A5','A5','A3','A4','A5','A5','A3','A4','A5','A5','A2',0,0,0,1,0,0,0,2,,,,'A10',,'A4','A25',1,'Soweit alles gut. Ich finde aber, Sie sollten auch das Geschlecht „divers“ miteinbeziehen. Ich kenne Leute, die das Fehlen dieser Angabemöglichkeit sehr stören würde.'
73,'25-10-2021 13:10:35',5,'de','8249806','25-10-2021 12:59:20','25-10-2021 13:10:35','A4','A5','A4','A4','A4','A4','A5','A4','A4','A3','A3','A4','A3','A4','A4','A5','A4','A4','A3','A4','A4','A4','A3','A5','A4','A4','A4','A5','A5','A4','A4','A5','A5','A4','A2','A4','A4','A3','A4','A5','A5','A3',1,1,1,1,0,0,0,1,'ERP Consultant','A3',,'A15',,'A2','A31',2,
74,,,'de','1063826003','25-10-2021 12:59:54','25-10-2021 12:59:54',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,'de','1102745703','25-10-2021 13:01:18','25-10-2021 13:01:18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,'de','1636625093','25-10-2021 13:01:41','25-10-2021 13:01:41',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,'25-10-2021 13:21:46',5,'de','1901244499','25-10-2021 13:02:27','25-10-2021 13:21:46','A5','A5','A5','A4','A5','A5','A5','A3','A3','A4','A3','A4','A4','A4','A4','A3','A3','A3','A5','A5','A5','A3','A3','A5','A5','A3','A4','A5','A5','A4','A4','A5','A5','A4','A3','A4','A5','A4','A3','A4','A5','A3',0,0,0,1,0,0,0,1,'Wissenschaftlicher Assistent an einer Fachhochschule','-','Forschung und Bildung','A15',,'A2','A31',2,
78,,2,'de','311483821','25-10-2021 13:03:28','25-10-2021 13:05:35','A5','A5','A5','A4','A5','A3','A3','A1','A1','A4','A4','A3','A4','A4','A3','A4','A2','A2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,'25-10-2021 13:12:56',5,'de','369577737','25-10-2021 13:04:41','25-10-2021 13:12:56','A5','A5','A5','A5','A5','A5','A5','A4','A4','A4','A4','A3','A4','A5','A4','A5','A3','A3','A3','A5','A5','A4','A4','A5','A5','A3','A4','A5','A5','A3','A5','A5','A5','A4','A4','A4','A4','A4','A5','A5','A5','A4',0,1,1,0,0,0,0,1,'Webentwickler','A3',,'A10',,'A3','A32',2,'Der letzte Antwortblock war von der Formatierung & Text(-länge) her etwas mühsam zum lesen. Besser finde ich Listen / Stichworte.'
